scalar,RGB_r,RGB_g,RGB_b
0.6516634051,0.6307891792,0.6119454584,0.5944139902
0.6536203523,0.6327201094,0.6137589591,0.5960799347
0.6555772994,0.6346521593,0.6155734348,0.5977466603
0.6575342466,0.6365853269,0.6173888839,0.5994141658
0.6594911937,0.6385196106,0.6192053048,0.6010824499
0.6614481409,0.6404550085,0.6210226960,0.6027515115
0.6634050881,0.6423915189,0.6228410559,0.6044213494
0.6653620352,0.6443291399,0.6246603828,0.6060919622
0.6673189824,0.6462678698,0.6264806753,0.6077633489
0.6692759295,0.6482077068,0.6283019318,0.6094355082
0.6712328767,0.6501486492,0.6301241506,0.6111084390
0.6731898239,0.6520906953,0.6319473304,0.6127821399
0.6751467710,0.6540338432,0.6337714694,0.6144566099
0.6771037182,0.6559780912,0.6355965663,0.6161318477
